14.23,15.6
13.2,11.2
13.16,18.6
14.37,16.8
13.24,21.0
14.2,15.2
14.39,14.6
14.06,17.6
14.83,14.0
13.86,16.0
14.1,18.0
14.12,16.8
13.75,16.0
14.75,11.4
14.38,12.0
13.63,17.2
14.3,20.0
13.83,20.0
14.19,16.5
13.64,15.2
14.06,16.0
12.93,18.6
13.71,16.6
12.85,17.8
13.5,20.0
13.05,25.0
13.39,16.1
13.3,17.0
13.87,19.4
14.02,16.0
13.73,22.5
13.58,19.1
13.68,17.2
13.76,19.5
13.51,19.0
13.48,20.5
13.28,15.5
13.05,18.0
13.07,15.5
14.22,13.2
13.56,16.2
13.41,18.8
13.88,15.0
13.24,17.5
13.05,17.0
14.21,18.9
14.38,16.0
13.9,16.0
14.1,18.8
13.94,17.4
13.05,12.4
13.83,17.2
13.82,14.0
13.77,17.1
13.74,16.4
13.56,20.5
14.22,16.3
13.29,16.8
13.72,16.7
12.37,10.6
12.33,16.0
12.64,16.8
13.67,18.0
12.37,19.0
12.17,19.0
12.37,18.1
13.11,15.0
12.37,19.6
13.34,17.0
12.21,16.8
12.29,20.4
13.86,25.0
13.49,24.0
12.99,30.0
11.96,21.0
11.66,16.0
13.03,16.0
11.84,18.0
12.33,14.8
12.7,23.0
12.0,19.0
12.72,18.8
12.08,24.0
13.05,22.5
11.84,18.0
12.67,18.0
12.16,22.8
11.65,26.0
11.64,21.6
12.08,23.6
12.08,18.5
12.0,22.0
12.69,20.7
12.29,18.0
11.62,18.0
12.47,19.0
11.81,21.5
12.29,16.0
12.37,18.5
12.29,18.0
12.08,17.5
12.6,18.5
12.34,21.0
11.82,19.5
12.51,20.5
12.42,22.0
12.25,19.0
12.72,22.5
12.22,19.0
11.61,20.0
11.46,19.5
12.52,21.0
11.76,20.0
11.41,21.0
12.08,22.5
11.03,21.5
11.82,20.8
12.42,22.5
12.77,16.0
12.0,19.0
11.45,20.0
11.56,28.5
12.42,26.5
13.05,21.5
11.87,21.0
12.07,21.0
12.43,21.5
11.79,28.5
12.37,24.5
12.04,22.0
12.86,18.0
12.88,20.0
12.81,24.0
12.7,21.5
12.51,17.5
12.6,18.5
12.25,21.0
12.53,25.0
13.49,19.5
12.84,24.0
12.93,21.0
13.36,20.0
13.52,23.5
13.62,20.0
12.25,18.5
13.16,21.0
13.88,20.0
12.87,21.5
13.32,21.5
13.08,21.5
13.5,24.0
12.79,22.0
13.11,25.5
13.23,18.5
12.58,20.0
13.17,22.0
13.84,19.5
12.45,27.0
14.34,25.0
13.48,22.5
12.36,21.0
13.69,20.0
12.85,22.0
12.96,18.5
13.78,22.0
13.73,22.5
13.45,23.0
12.82,19.5
13.58,24.5
13.4,25.0
12.2,19.0
12.77,19.5
14.16,20.0
13.71,20.5
13.4,23.0
13.27,20.0
13.17,20.0
14.13,24.5
