cluster,pt,x,y,num_neighbors,neighbors
"","0","51.418089027280104","13.593610291024675","2","0,27"
"","1","39.132318399978814","-4.419204415001493","3","1,40,75"
"","2","47.80751510440953","-25.822560549769435","1","2"
"","3","27.699702929141353","53.434193065153295","1","3"
"","4","39.86099481703741","5.676870901714278","3","4,56,75"
"","5","-19.89185931646944","10.410273811660709","3","5,70,74"
"","6","-0.050282532255520485","-4.032522275625189","3","6,14,42"
"","7","18.562511893067935","-28.65497990837755","1","7"
"","8","-14.629903651637436","-4.887040158034663","5","8,11,60,63,72"
"","9","38.74388097267972","40.400290121056685","3","9,33,78"
"","10","-19.42147427164422","-20.88104250119114","4","10,22,39,71"
"","11","-9.114557013445014","-5.251819287270827","3","8,11,14"
"","12","40.05352196800545","-20.335103200383447","2","12,28"
"","13","44.3200188038368","-38.70766750849579","2","13,51"
"","14","-5.717139958397313","-5.061612513797467","3","6,11,14"
"","15","49.33000973835746","-17.71167061272066","1","15"
"","16","10.203045334287584","19.651902116097983","4","16,29,46,48"
"","17","7.288191306453086","-7.042860177149549","3","17,20,42"
"","18","-50.47232191996444","-34.02200155880386","1","18"
"","19","-19.9817819533357","20.891617311323127","3","19,54,74"
"","20","9.298230059713505","-5.662962428015969","4","17,20,38,42"
"","21","27.645646107177328","16.043532140144862","2","21,76"
"","22","-23.14757956021088","-25.08970816444088","3","10,22,71"
"","23","-36.53433397866688","26.43552087215339","1","23"
"","24","-22.161982955372046","59.910801635053986","1","24"
"","25","-9.046846740594297","20.063972403411547","4","25,26,54,67"
"","26","-5.731319312837116","19.950897038105673","3","25,26,34"
"","27","49.708182402879544","11.013786302670766","2","0,27"
"","28","39.77148046684003","-14.7891646875484","3","12,28,40"
"","29","5.515044660144542","20.74569770327134","4","16,29,34,46"
"","30","20.835034337657692","0.05363803176221693","4","30,38,45,52"
"","31","19.294075085492736","14.142294346791125","2","31,49"
"","32","-19.011260657773533","2.1700210896339343","5","32,63,69,70,72"
"","33","38.63872192402499","35.60031846982629","3","9,33,78"
"","34","0.8001400631065849","19.940288816880262","4","26,29,34,46"
"","35","44.86867114344571","52.21117243887545","2","35,62"
"","36","12.819389423684498","34.585663163879545","1","36"
"","37","19.45122619740321","-10.951651836784633","4","37,38,45,53"
"","38","15.678623904953687","-5.307365602222503","5","20,30,37,38,45"
"","39","-19.99964610884355","-14.92268780370065","5","10,39,50,68,71"
"","40","40.4121448261431","-9.971337706601519","3","1,28,40"
"","41","-31.89363518632371","-35.905557756771955","1","41"
"","42","5.956522076912938","-5.794272239838005","4","6,17,20,42"
"","43","-53.46124925515884","14.589842352329484","2","43,59"
"","44","-11.279668321925762","-40.24939246065994","1","44"
"","45","19.792362802755328","-4.849866624176975","4","30,37,38,45"
"","46","4.84406861553218","23.35605163470693","4","16,29,34,46"
"","47","20.921681165676418","-20.52039413562267","2","47,53"
"","48","14.292153290252063","20.34362091324353","2","16,48"
"","49","19.394868576109165","10.006915553343678","4","31,49,52,76"
"","50","-24.85186968652136","-10.462004481812158","5","39,50,60,63,68"
"","51","43.71553375876904","-41.71385934976746","2","13,51"
"","52","19.34799598981976","4.596383211539877","4","30,49,52,64"
"","53","20.868722526661212","-15.268779691870213","3","37,47,53"
"","54","-14.295189099452454","20.02807632181326","4","19,25,54,74"
"","55","-37.72529820900698","44.94191650142315","2","55,77"
"","56","40.455248729212926","10.130256876933394","3","4,56,66"
"","57","-1.5827913015904613","30.80013732126129","1","57"
"","58","-26.8932446498738","51.286356422229275","1","58"
"","59","-53.888100692192445","10.69095057386329","2","43,59"
"","60","-20.64709016777238","-5.925784499045043","6","8,50,60,63,68,72"
"","61","-8.45706433401795","-20.017052045986695","1","61"
"","62","40.59416796799729","51.85131677106395","2","35,62"
"","63","-20.50623206209242","-5.066204776419367","7","8,32,50,60,63,68,72"
"","64","13.15393146087726","5.1533357952679495","2","52,64"
"","65","12.532022763975476","-44.86499604430024","1","65"
"","66","40.605239554014275","15.589895889925177","2","56,66"
"","67","-10.612269590582258","12.882816547291085","2","25,67"
"","68","-20.449442217435138","-10.814109370734627","5","39,50,60,63,68"
"","69","-21.735511424832133","2.641842009219772","4","32,69,70,72"
"","70","-19.592554561841","4.313652518729349","5","5,32,69,70,72"
"","71","-20.577410981618353","-20.39900296193844","4","10,22,39,71"
"","72","-20.792745819757705","-0.6362231502130449","7","8,32,60,63,69,70,72"
"","73","13.922199754203973","-53.907399483344484","1","73"
"","74","-19.615246666653395","15.755553151747042","4","5,19,54,74"
"","75","39.65904730747222","0.23017801318568343","3","1,4,75"
"","76","26.366490695143767","8.798826124935147","3","21,49,76"
"","77","-36.18405980734306","44.2920447885741","2","55,77"
"","78","44.012084735548044","37.72947762746371","3","9,33,78"
"","79","-1.3932339341155995","-55.29394275062961","1","79"
